,Name,Medals
480,Yevgeny Vasilyevich Mironov,1
481,"Richard Charles ""Rick"" Mitchell",1
482,Dietmar Mgenburg,1
483,Silke Mller (Gladisch-),1
484,Pablo Montes Casanova,1
485,Salvatore Morale,1
486,Juan Morales Hechavarra,1
487,Max Morinire,1
488,Devon Morris,1
489,Edwin Corley Moses,3
490,Rosa Mara Correia dos Santos Mota,2
491,Wendell Adrian Mottley,2
492,Gael Patricia Mulhall-Martin,1
493,Helmar Mller,1
494,Petra Mller (-Schersing),2
495,Romy Mller (Schneider-),1
496,Thomas Munkelt,1
497,Vladimir Pavlovich Muravyov,2
498,Yvonne Carol Grace Murray (-Mooney),1
499,Donna-Marie Louise Murray-Hartley (-Wass),1
500,"Michael ""Mike"" Musyoki",1
501,"Lawrence Ellwyne ""Larry"" Myricks",1
502,Irina Viktorovna Nazarova (Bagryantseva-),1
503,Olga Vladimirovna Nazarova,2
504,Kathrin Neimke,1
505,Mikls Nmeth,1
506,Angla Nmeth-Rnky,1
507,"Mildrette Netter (-Bell, -Graves)",1
508,Dagmar Neubauer (Rbsam-),1
509,Pauli Lauri Nevala,1
510,"Frederick Vaughn ""Fred"" Newhouse",2
511,John Ngugi Kamau,1
512,Vincent Paul Nihill,1
513,"Gerhardus Marinus Maria ""Gerard"" Nijboer",1
514,Sunder Lamont Nix,1
515,Wolfgang Nordwig,2
516,Peter George Norman,1
517,Harald Norpoth,1
518,"Glynis Leanne Nunn (Saunders-, -Cearns)",1
519,Hezekiah Munyoro Nyamau,2
520,Suleiman Nyambui,1
521,Gary James Oakes,1
522,Josef Odloil,1
523,Marlies Oelsner-Ghr,4
524,"Alfred Adolph ""Al"" Oerter, Jr.",2
525,Antonina Nikolayevna Okorokova-Lazareva,1
526,Nadiya Fedorivna Olizarenko (Mushta-),2
527,Merlene Joyce Ottey-Page,3
528,"David Charles ""Dave"" Ottley",1
529,Eddy Jean Paul Ottoz (Dimichelis-),1
530,Robert Ouko,1
531,"Stephen Michael John ""Steve"" Ovett",2
532,Ann Elizabeth Packer (-Brightwell),2
533,Abdon Pamich,1
534,Hermann Panzo,1
535,Sheila Hilary Parkin-Sherwood,1
536,"Maxwell Lander ""Maxie"" Parks",1
537,Frank Paschek,1
538,Alan Peter Pascoe,1
539,Marita Arthur Payne Wiggins,2
540,Nataliya Aleksandrovna Pechonkina-Chistyakova (Burda-),1
541,Jos Pedraza Ziga,1
542,"Melvin ""Mel"" Pender, Jr.",1
543,Mihaela Pene (-Brandsdorfer),2
544,Mary Elizabeth Peters,1
545,Rotimi Peters,1
546,Petar Nikolov Petrov,1
547,Ingvar Albin Henrik Pettersson,1
548,Jrg Pfeifer,1
549,Andr Lamar Phillips,1
550,Valeriy Vasylovych Pidluzhniy,1
551,Jerzy Pietrzyk,1
552,Paola Pigni (-Cacchi),1
553,Mariya Dzhumabayevna Pinigina (Kulchunova-),1
554,Claude Piquemal,2
555,Klaus-Dieter Ploghaus,1
556,Pyotr Ivanovich Pochenchuk,1
557,Ryszard Podlas,1
558,Burglinde Pollak (-Grimm),2
559,Nataliya Vladimirovna Pomoshchnikova-Voronova,1
560,Vira Ivanivna Popkova (Kabreniuk-),1
561,Elvira Poekel (-Borchers),1
562,Rudolf Pavlovych Povarnitsyn,1
563,John Gates Powell,2
564,"Michael Anthony ""Mike"" Powell",1
565,Irina Natanovna Press,1
566,Tamara Natanovna Press,2
567,Jozef Pribilinec,1
568,Michelle Probert-Scutt,1
569,Andrey Vasilyevich Prokofyev,1
570,Tetiana Vasylivna Prorochenko (-Burakova),2
571,Tatyana Petrovna Providokhina (-Fedorenko),1
572,Nlson Prudncio,2
573,Aleksandr Nikolayevich Puchkov,1
574,Maricica Puic (Luca-),2
575,"Emiel Adrien ""Miel"" Puttemans",1
576,"Donald O'Reilly ""Don"" Quarrie",4
577,"Theodorus Jacobus Leonardus ""Dick"" Quax",1
578,Gilles Qunherv,1
579,Violeta Quesada Daz,1
580,Pierre Jean Guy Quinon,1
581,John Barnett Rambo,1
582,Hermes Julin Ramrez Limonta,1
583,Viktor Ivanovich Rashchupkin,1
584,Seppo Henrik Rty,1
585,John Paul Lyndon Regis,1
586,Hans-Georg Reimann,2
587,Wolfgang Reinhardt,1
588,"Harry Lee ""Butch"" Reynolds, Jr.",2
589,Martin Edward Reynolds,1
590,Antoine Richard,1
591,"Jillian Cheryl ""Jill"" Richardson-Briscoe",1
592,Karin Richert-Balzer,2
593,Annegret Richter (Irrgang-),4
594,Halina Sylwia Richter-Grecka-Herrmann,1
595,"Steven Earl ""Steve"" Riddick",1
596,Karl-Hans Riehm,1
597,Dorothy Louise Ritter,1
598,"David Luther ""Dave"" Roberts",1
599,Edwin Anthony Roberts,2
600,"Clarence Earl ""Arnie"" Robinson, Jr.",2
601,Kevin Bernard Robinzine,1
602,Gaston Roelants,1
603,Brigitte Rohde (-Khn),1
604,Fulgencia Romay Martnez,2
605,Peter Kipchumba Rono,1
606,"Heidemarie ""Heide"" Rosendahl (-Ecker)",3
607,Mark Robert Rowland,1
608,Anette Rckes (-Vater-Hlsdnker),1
609,Daniel Matasi Rudisha,1
610,Olga Aleksandrovna Rukavishnikova,1
